#runID	nEvts	server
009673	104438	e906-db3.fnal.gov
009674	162156	e906-db3.fnal.gov
009675	139295	e906-db3.fnal.gov
009676	45043	e906-db3.fnal.gov
009677	130918	e906-db3.fnal.gov
009678	150734	e906-db3.fnal.gov
009679	121305	e906-db3.fnal.gov
009680	191009	e906-db3.fnal.gov
009681	165770	e906-db3.fnal.gov
009682	152497	e906-db3.fnal.gov
009683	155009	e906-db3.fnal.gov
009684	159725	e906-db3.fnal.gov
009685	12683	e906-db3.fnal.gov
009686	153500	e906-db3.fnal.gov
009687	149971	e906-db3.fnal.gov
009688	154770	e906-db3.fnal.gov
009689	169070	e906-db3.fnal.gov
009690	156495	e906-db3.fnal.gov
009691	162140	e906-db3.fnal.gov
009692	152686	e906-db3.fnal.gov
009693	150889	e906-db3.fnal.gov
009695	152314	e906-db3.fnal.gov
009696	154157	e906-db3.fnal.gov
009697	155901	e906-db3.fnal.gov
009698	155508	e906-db3.fnal.gov
009699	155287	e906-db3.fnal.gov
009700	172184	e906-db3.fnal.gov
009701	155656	e906-db3.fnal.gov
009702	158127	e906-db3.fnal.gov
009703	154088	e906-db3.fnal.gov
009704	153599	e906-db3.fnal.gov
009705	166364	e906-db3.fnal.gov
009706	52662	e906-db3.fnal.gov
009707	3998	e906-db3.fnal.gov
009708	60430	e906-db3.fnal.gov
009709	74840	e906-db3.fnal.gov
009710	3848	e906-db3.fnal.gov
009711	154205	e906-db3.fnal.gov
009712	154392	e906-db3.fnal.gov
009713	153758	e906-db3.fnal.gov
009714	151733	e906-db3.fnal.gov
009715	156034	e906-db3.fnal.gov
009716	152796	e906-db3.fnal.gov
009717	49534	e906-db3.fnal.gov
009719	157180	e906-db3.fnal.gov
009720	79853	e906-db3.fnal.gov
009721	162581	e906-db3.fnal.gov
009722	150711	e906-db3.fnal.gov
009723	143647	e906-db3.fnal.gov
009724	155601	e906-db3.fnal.gov
009725	158922	e906-db3.fnal.gov
009726	154556	e906-db3.fnal.gov
009727	162444	e906-db3.fnal.gov
009728	151095	e906-db3.fnal.gov
009729	141755	e906-db3.fnal.gov
009730	146848	e906-db3.fnal.gov
009732	401867	e906-db3.fnal.gov
009733	208267	e906-db3.fnal.gov
009734	30443	e906-db3.fnal.gov
009735	53709	e906-db3.fnal.gov
009736	215865	e906-db3.fnal.gov
009737	152725	e906-db3.fnal.gov
009738	155602	e906-db3.fnal.gov
009739	154922	e906-db3.fnal.gov
009740	156495	e906-db3.fnal.gov
009742	154192	e906-db3.fnal.gov
009743	155002	e906-db3.fnal.gov
009744	120164	e906-db3.fnal.gov
009746	157927	e906-db3.fnal.gov
009747	155638	e906-db3.fnal.gov
009748	160579	e906-db3.fnal.gov
009749	14580	e906-db3.fnal.gov
009750	156079	e906-db3.fnal.gov
009751	157665	e906-db3.fnal.gov
009752	167179	e906-db3.fnal.gov
009753	157942	e906-db3.fnal.gov
009754	87654	e906-db3.fnal.gov
009755	44507	e906-db3.fnal.gov
009756	122927	e906-db3.fnal.gov
009757	117433	e906-db3.fnal.gov
009758	156266	e906-db3.fnal.gov
009759	34602	e906-db3.fnal.gov
009760	17147	e906-db3.fnal.gov
009761	153687	e906-db3.fnal.gov
009762	157286	e906-db3.fnal.gov
009763	154636	e906-db3.fnal.gov
009764	154771	e906-db3.fnal.gov
009765	62333	e906-db3.fnal.gov
009766	26612	e906-db3.fnal.gov
009767	154004	e906-db3.fnal.gov
009768	145922	e906-db3.fnal.gov
009772	155578	e906-db3.fnal.gov
009773	144113	e906-db3.fnal.gov
009774	88233	e906-db3.fnal.gov
009775	151271	e906-db3.fnal.gov
009776	7805	e906-db3.fnal.gov
009777	151864	e906-db3.fnal.gov
009778	150587	e906-db3.fnal.gov
009779	152925	e906-db3.fnal.gov
009780	155297	e906-db3.fnal.gov
009781	154842	e906-db3.fnal.gov
009782	151412	e906-db3.fnal.gov
009783	154280	e906-db3.fnal.gov
009784	152820	e906-db3.fnal.gov
009785	61280	e906-db3.fnal.gov
009786	154156	e906-db3.fnal.gov
009787	152720	e906-db3.fnal.gov
009788	153851	e906-db3.fnal.gov
009789	13010	e906-db3.fnal.gov
009790	156159	e906-db3.fnal.gov
009791	158487	e906-db3.fnal.gov
009792	154861	e906-db3.fnal.gov
009793	43261	e906-db3.fnal.gov
009794	6409	e906-db3.fnal.gov
009795	149135	e906-db3.fnal.gov
009796	101270	e906-db3.fnal.gov
009797	61753	e906-db3.fnal.gov
009798	149620	e906-db3.fnal.gov
009799	55667	e906-db3.fnal.gov
009800	152909	e906-db3.fnal.gov
009801	151243	e906-db3.fnal.gov
009802	148135	e906-db3.fnal.gov
009803	153909	e906-db3.fnal.gov
009804	151905	e906-db3.fnal.gov
009805	145571	e906-db3.fnal.gov
009806	140613	e906-db3.fnal.gov
009807	140155	e906-db3.fnal.gov
009808	139667	e906-db3.fnal.gov
009809	142126	e906-db3.fnal.gov
009811	142404	e906-db3.fnal.gov
